RelativePath,Bytes,SHA256
app/Microsoft.Extensions.Hosting.WindowsServices.dll,28968,327fdcdea21358502d83b3a74a0c02f5fcb4348369f3569187df6ad4d98fa653
app/Microsoft.Extensions.Hosting.dll,71976,d341be29a1aa7ce1026499776edbd457370586d0d1d6d231c42630e579fac09e
app/Microsoft.Extensions.Logging.Abstractions.dll,66856,cec836c1dff8e64701ee4fd3a710bd971fef953c90a34b577d9f4363103e6c39
app/Microsoft.Extensions.Logging.Configuration.dll,28456,b0e3dea3ef2f0169171a58d024ccebbad0c2a1d35d4278d5a21c6f8a537b59e7
app/Microsoft.Extensions.Logging.Console.dll,76072,97f7643ed779c0deb030ebef8e95388a9cbfb194e271391075dae297674d5897
app/Microsoft.Extensions.Logging.Debug.dll,19792,54dd5ec754cd6e98e5a1a2f6caef643d4cb4507c1b64281fc810d4db1b0a0578
app/Microsoft.Extensions.Logging.EventLog.dll,24872,45050b78770e4b1c10dadda4a71c31c04b7a9d24ff661bdfe52854e4c6e8e94e
app/Microsoft.Extensions.Logging.EventSource.dll,34640,64ec3197a6ec86920dbee666725bf5a9a5cd4b8aa4037b6153e4e29014b61b9d
app/Microsoft.Extensions.Logging.dll,51536,26d66b29b64a36bc7416e999b0fb55bc4b2d9d1358b6bef830c6a0ecdc81f86e
app/Microsoft.Extensions.ObjectPool.dll,22816,dba21041ab0064cf94f3e821df1435d880cec2ce5408144e3ec5199347349bc0
app/Microsoft.Extensions.Options.ConfigurationExtensions.dll,21800,4f6119f2f95f656412c4f31fdf80b739314060beeb374ea3aa92feb3164582f7
app/Microsoft.Extensions.Options.dll,65320,c734c6a9feca3a2df39597e028efea8eea796e7e5dfc815df8b5893384297728
app/Microsoft.Extensions.Primitives.dll,44880,1f9f027817b0f277f45cceb0927c14e41cabfe6d52dafb5ab6bf68895294814b
app/Microsoft.Foundation.winmd,11616,51e267a3e7d640c06b0e775c4bab9e29aa81e42a245d9d6fb763a7bea5cee4b3
app/Microsoft.Graphics.Display.dll,218936,7248902bacbc03939d220a5a3e0a9de73f15bcfa6b6c264879115aab4af33a5a
app/Microsoft.Graphics.Imaging.dll,139576,43b5c14c023cc8744abfe2888dc175559d9542cad60f1708b24ce346694c663f
app/Microsoft.Graphics.Imaging.winmd,13624,67bfecaf7a18a9bc9fb09ea60a98fd0d7f0025b2b8c8cadc2883d0bd9424aae8
app/Microsoft.Graphics.ImagingInternal.ImageObjectRemover.winmd,12088,e46d32b6340ecd55d03afb57c41df15a5a8f9928c9cdb6fa0cc68b0df10fd044
app/Microsoft.Graphics.ImagingInternal.winmd,16696,b3bf44a93e048c90eb2669c0486689a73678eb2f0906df8fca93240f2c91a62a
app/Microsoft.Graphics.Internal.Imaging.winmd,18232,cdeaf48bf23a0b55f15a5e365d0934d88443048d3641e94ad3cb552a617f3220
app/Microsoft.Graphics.winmd,21304,d5fff8f0bdf7bd18515b75ba92837e7835c77f60dc2b67bb87a44698fdd89bc6
app/Microsoft.InputStateManager.dll,456504,0445c8d2f062462924ade3f2c5b66143f9e837e3e69e2012a07681ad555356e4
app/Microsoft.Internal.FrameworkUdk.dll,931248,01dc25426567fa74d17869e0199e38267d739a73414409830e919cd0433cabab
app/Microsoft.NET.StringTools.dll,30880,e51c8678fd602a21c249b369e833966019935132476f9434da896bef808ba3b1
app/Microsoft.Security.Authentication.OAuth.winmd,24376,a3a7040d7052c5f160e420380511e84f31af5e4c7b0773defe14e5f2fd737a78
app/Microsoft.Toolkit.Uwp.Notifications.dll,144080,036564a649f47b92250dff4f205c8d44804b0b41a69d783bd4212d189eb5f694
app/Microsoft.Toolkit.Win32.UI.XamlHost.dll,110800,98a87914e37600c7f97a27ca603a6b994dd51ffd390ce5b34e073939d258c2f4
app/Microsoft.Toolkit.Win32.UI.XamlHost.pri,768,14f448af38b1188fd5001bd6e7021b042833aaa72d1c9bc807384ed75b95ea5a
app/Microsoft.UI.Composition.OSSupport.dll,67384,a80774593ec2af30718099e318c12c5ba40476af9d2b07154713645c043e88f9
app/Microsoft.UI.Designer.dll,120632,b448f6a386c02b036238a473908d9049025a9d1ead48c5e7ae8a8923ccc9adc2
app/Microsoft.UI.Input.dll,1570616,7e24fb014303d387c140de4fedd4c65d079a2b0dd6ddde01135972b887a8e403
app/Microsoft.UI.Text.winmd,35128,eeadebd8d48d72e2016020db1b16b83adc2b89a8eec2bd416d017a292ec6bcd3
